stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
3635620EN004,高雄市,人工,930520,大林蒲監測站,第二類,一般地區環境音量,高雄市小港區鳳林路207號,使用中,,,,10,120.342951,22.526432
3635520EN010,高雄市,人工,931127,旗津監測站,第三類,一般地區環境音量,高雄市旗津區旗津二路455號,使用中,,,,6,120.287241,22.586059
3635420EN011,高雄市,人工,930521,前鎮監測站,第一類,一般地區環境音量,高雄市前鎮區北一路七號,使用中,,,,6,120.287461,22.607593
3635320TN009,高雄市,人工,940610,凱旋監測站,第三類,道路交通噪音,高雄市苓雅區凱旋二路145號,使用中,,,,10,120.321788,22.629322
3635320TN008,高雄市,人工,930520,福德監測站,第三類,道路交通噪音,高雄市苓雅區三多二路102號,使用中,,,,30,120.322191,22.620003
3635320TN005,高雄市,人工,940428,苓雅監測站,第二類,道路交通噪音,高雄市苓雅區福德一路77號,使用中,,,,10,120.328038,22.632352
3635320EN003,高雄市,人工,930513,河東監測站,第二類,一般地區環境音量,高雄市苓雅區建國一路142號,使用中,,,,6,120.3302,22.633085
3635220TN004,高雄市,人工,940820,前金監測站,第二類,道路交通噪音,高雄市前金區河東路359號,使用中,,,,10,120.286877,22.631431
3635220EN007,高雄市,人工,940225,新興監測站,第三類,一般地區環境音量,高雄市中前金區自強二路169號,使用中,,,,12,120.294277,22.627554
3635120EN008,高雄市,人工,930519,十全監測站,第三類,一般地區環境音量,高雄市新興區忠孝一路331號,使用中,,,,,120.305958,22.633372
3635020TN007,高雄市,人工,940313,民族監測站,第三類,道路交通噪音,高雄市三民區民族一路418號,使用中,,,,40,120.315485,22.653334
3635020TN003,高雄市,人工,930519,義華監測站,第二類,道路交通噪音,高雄市三民區義華路272號,使用中,,,,12,120.337629,22.643502
3634920TN011,高雄市,人工,930519,楠梓監測站,第一類,道路交通噪音,高雄市楠梓區左楠路2號,使用中,,,,15,120.308769,22.712718
3634820TN002,高雄市,人工,930519,環潭監測站,第一類,道路交通噪音,高雄市左營區蓮潭路176號,使用中,,,,15,120.294499,22.68439
3634820EN012,高雄市,人工,930521,半屏山監測站,第一類,一般地區環境音量,高雄市楠梓區屏山巷一號,使用中,,,,,120.31909,22.702365
3634720TN001,高雄市,人工,930521,西子灣監測站,第一類,道路交通噪音,高雄市鼓山區蓮海路170號,使用中,,,,12,120.265864,22.625152
3634720EN005,高雄市,人工,940309,文化監測站,第二類,一般地區環境音量,高雄市鼓山區鼓三二路37巷101號,使用中,,,,6,120.277242,22.632253
3634720EN002,高雄市,人工,930513,鼓山監測站,第一類,一般地區環境音量,高雄市鼓山區鼓山路115巷4號,使用中,,,,6,120.279844,22.644739
3634720EN001,高雄市,人工,930513,壽山監測站,第一類,一般地區環境音量,高雄市鼓山區桃源里93-1號,使用中,,,,,120.261616,22.644997
